customerID,p_oof,MonthlyCharges,Contract
7590-VHVEG,0.7380751,29.85,Month-to-month
5575-GNVDE,0.044291507,56.95,One year
3668-QPYBK,0.39400375,53.85,Month-to-month
7795-CFOCW,0.062008772,42.3,One year
9237-HQITU,0.6684065,70.7,Month-to-month
9305-CDSKC,0.8056234,99.65,Month-to-month
1452-KIOVK,0.41750056,89.1,Month-to-month
6713-OKOMC,0.19548137,29.75,Month-to-month
7892-POOKP,0.51062894,104.8,Month-to-month
6388-TABGU,0.040746715,56.15,One year
9763-GRSKD,0.16842751,49.95,Month-to-month
7469-LKBCI,0.012844228,18.95,Two year
8091-TTVAX,0.23357102,100.35,One year
0280-XJGEX,0.45508295,103.7,Month-to-month
5129-JLPIS,0.4429325,105.5,Month-to-month
3655-SNQYZ,0.048545294,113.25,Two year
8191-XWSZG,0.025478128,20.65,One year
9959-WOFKT,0.077300645,106.7,Two year
4190-MFLUW,0.16153859,55.2,Month-to-month
4183-MYFRB,0.4854759,90.05,Month-to-month
8779-QRDMV,0.7643029,39.65,Month-to-month
1680-VDCWW,0.05070462,19.8,One year
1066-JKSGK,0.31686434,20.15,Month-to-month
3638-WEABW,0.024587082,59.9,Two year
6322-HRPFA,0.093211286,59.6,Month-to-month
6865-JZNKO,0.13618766,55.3,Month-to-month
6467-CHFZW,0.4975227,99.35,Month-to-month
8665-UTDHZ,0.5060269,30.2,Month-to-month
5248-YGIJN,0.01757802,90.25,Two year
8773-HHUOZ,0.23764898,64.7,Month-to-month
3841-NFECX,0.03421265,96.35,Two year
4929-XIHVW,0.7502173,95.5,Month-to-month
6827-IEAUQ,0.0447899,66.15,One year
7310-EGVHZ,0.28351665,20.2,Month-to-month
3413-BMNZE,0.65793335,45.25,Month-to-month
6234-RAAPL,0.044548027,99.9,Two year
6047-YHPVI,0.6734305,69.7,Month-to-month
6572-ADKRS,0.22386527,74.8,Month-to-month
5380-WJKOV,0.54482275,106.35,Month-to-month
8168-UQWWF,0.73002344,97.85,Month-to-month
8865-TNMNX,0.06493986,49.55,One year
9489-DEDVP,0.023713453,69.2,Two year
9867-JCZSP,0.034116197,20.75,One year
4671-VJLCL,0.020497922,79.85,Two year
4080-IIARD,0.24960709,76.2,Month-to-month
3714-NTNFO,0.3978385,84.5,Month-to-month
5948-UJZLF,0.39345732,49.25,Month-to-month
7760-OYPDY,0.7451248,80.65,Month-to-month
7639-LIAYI,0.025995458,79.75,Two year
2954-PIBKO,0.016546138,64.15,Two year
8012-SOUDQ,0.43081558,90.25,Month-to-month
9420-LOJKX,0.5046331,99.1,Month-to-month
6575-SUVOI,0.17872153,69.5,Month-to-month
7495-OOKFY,0.5926658,80.65,Month-to-month
4667-QONEA,0.061215352,74.85,One year
1658-BYGOY,0.63792366,95.45,Month-to-month
8769-KKTPH,0.16710296,99.65,One year
5067-XJQFU,0.21641944,108.45,One year
3957-SQXML,0.014228511,24.95,Two year
5954-BDFSG,0.079692505,107.5,Two year
0434-CSFON,0.5235421,100.5,Month-to-month
1215-FIGMP,0.31496105,89.9,Month-to-month
0526-SXDJP,0.026471991,42.1,Two year
0557-ASKVU,0.081392385,54.4,One year
5698-BQJOH,0.72565246,94.4,Month-to-month
5122-CYFXA,0.37079352,75.3,Month-to-month
8627-ZYGSZ,0.14363724,78.9,One year
3410-YOQBQ,0.025201652,79.2,Two year
3170-NMYVV,0.013260673,20.15,Two year
7410-OIEDU,0.40193552,79.85,Month-to-month
2273-QCKXA,0.46910465,49.05,Month-to-month
0731-EBJQB,0.049195036,20.4,One year
1891-QRQSA,0.089389026,111.6,Two year
8028-PNXHQ,0.010833288,24.25,Two year
5630-AHZIL,0.33408013,64.5,Month-to-month
2673-CXQEU,0.26879153,110.5,One year
6416-JNVRK,0.11100606,55.65,One year
5590-ZSKRV,0.14562783,54.65,Month-to-month
0191-ZHSKZ,0.23072375,74.75,Month-to-month
3887-PBQAO,0.046897724,25.9,One year
5919-TMRGD,0.8587085,79.35,Month-to-month
8108-UXRQN,0.24027638,50.55,Month-to-month
9191-MYQKX,0.4930241,75.15,Month-to-month
9919-YLNNG,0.34455332,103.8,Month-to-month
0318-ZOPWS,0.015830109,20.15,Two year
4445-ZJNMU,0.76693493,99.3,Month-to-month
4808-YNLEU,0.08025273,62.15,One year
1862-QRWPE,0.012239857,20.65,Two year
2796-NNUFI,0.015732199,19.95,Two year
3016-KSVCP,0.20008624,33.75,Month-to-month
4767-HZZHQ,0.21893969,82.05,Month-to-month
2424-WVHPL,0.7751706,74.7,Month-to-month
7233-PAHHL,0.019469788,84.0,Two year
6067-NGCEU,0.24212076,111.05,Month-to-month
9848-JQJTX,0.10219149,100.9,Two year
8637-XJIVR,0.57915753,78.95,Month-to-month
9803-FTJCG,0.033150252,66.85,One year
0278-YXOOG,0.103937425,21.05,Month-to-month
3212-KXOCR,0.010647416,21.0,Two year
4598-XLKNJ,0.62136906,98.5,Month-to-month
6380-ARCEH,0.34297436,20.2,Month-to-month
3679-XASPY,0.3021083,19.45,Month-to-month
7123-WQUHX,0.08745745,95.0,One year
5386-THSLQ,0.07611645,45.55,One year
3192-NQECA,0.088166274,110.0,Two year
6180-YBIQI,0.36143422,24.3,Month-to-month
6728-DKUCO,0.22465996,104.15,One year
9750-BOOHV,0.062163778,30.15,One year
8597-CWYHH,0.15486711,94.35,One year
2848-YXSMW,0.008458227,19.4,Two year
0486-HECZI,0.36584872,96.75,Month-to-month
4549-ZDQYY,0.04649242,57.95,One year
5712-AHQNN,0.35092077,91.65,Month-to-month
4846-WHAFZ,0.5133092,76.5,Month-to-month
5256-SKJGO,0.06958933,54.6,Two year
3071-VBYPO,0.54009056,89.85,Month-to-month
9560-BBZXK,0.026472932,31.05,Two year
5299-RULOA,0.77135885,100.25,Month-to-month
8402-OOOHJ,0.0134610925,20.65,Two year
9445-ZUEQE,0.31260103,85.2,Month-to-month
1091-SOZGA,0.24918768,99.8,One year
2928-HLDBA,0.15297173,20.7,Month-to-month
0404-SWRVG,0.7212316,74.4,Month-to-month
6497-TILVL,0.15373221,50.7,Month-to-month
7219-TLZHO,0.14116184,20.85,Month-to-month
4622-YNKIJ,0.07776051,88.95,Two year
4412-YLTKF,0.56335664,78.05,Month-to-month
6734-PSBAW,0.012764744,23.55,Two year
3930-ZGWVE,0.301523,19.75,Month-to-month
2639-UGMAZ,0.13569237,56.45,One year
2876-GZYZC,0.6018824,85.95,Month-to-month
6207-WIOLX,0.19453736,58.6,Month-to-month
8587-XYZSF,0.023051724,50.55,Two year
3091-FYHKI,0.72726995,35.45,Month-to-month
2372-HWUHI,0.45390978,44.35,Month-to-month
7799-LGRDP,0.01940282,25.7,Two year
7850-VWJUU,0.27380094,75.0,Month-to-month
3774-VBNXY,0.009338864,20.2,Two year
6217-KDYWC,0.012589868,19.6,Two year
0390-DCFDQ,0.7498077,70.45,Month-to-month
3146-MSEGF,0.021477891,88.05,Two year
4080-OGPJL,0.19425681,71.15,Month-to-month
1095-WGNGG,0.0974114,101.05,Two year
2636-SJDOU,0.06519146,84.3,One year
1131-QQZEB,0.013172409,23.95,Two year
5716-EZXZN,0.055265184,99.05,Two year
6837-BJYDQ,0.06536037,19.6,One year
2135-RXIHG,0.6538441,45.65,Month-to-month
6440-DKQGE,0.053458076,64.5,One year
3466-BYAVD,0.16436309,69.5,Month-to-month
3780-YVMFA,0.30082762,68.55,Month-to-month
3874-EQOEP,0.6113022,95.0,Month-to-month
1679-JRFBR,0.14108045,108.15,One year
9073-ZZIAY,0.0301535,86.1,Two year
3077-RSNTJ,0.09987655,19.7,Month-to-month
6551-GNYDG,0.55628616,80.9,Month-to-month
9167-APMXZ,0.45117912,84.15,Month-to-month
2749-CTKAJ,0.028475666,20.15,One year
6371-NZYEG,0.025536945,64.25,Two year
7554-NEWDD,0.020212507,25.7,Two year
8992-VONJD,0.19466886,56.0,Month-to-month
0867-MKZVY,0.35414,82.4,Month-to-month
4482-EWFMI,0.7316198,69.7,Month-to-month
4648-YPBTM,0.023553992,73.9,Two year
2907-ILJBN,0.035089016,20.6,One year
6345-FZOQH,0.00909004,19.9,Two year
3376-BMGFE,0.5159776,70.9,Month-to-month
5997-OPVFA,0.019847486,89.05,Two year
